feature,importance
employee_residence,0.49886892640950714
job_title,0.13688287685360515
experience_level,0.11136564359448353
role_category,0.08172039701804394
company_location,0.05674012879230368
company_size,0.04116923334444704
work_year,0.03321510345163767
remote_ratio,0.03158169258531487
employment_type,0.008455997950656954
